Day_of_week,Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Pedestrian_movement,Cause_of_accident,Accident_severity,Hour
Thursday,31-50,Male,Junior high school,2-5yr,Other,0.0,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,Not a Pedestrian,Overloading,Slight Injury,11
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,5.0,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Other,Slight Injury,15
Thursday,31-50,Male,Junior high school,Above 10yr,Long lorry,0.0,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,31-50,3,Not a Pedestrian,No priority to vehicle,Slight Injury,15
Tuesday,18-30,Male,Junior high school,2-5yr,Lorry (11?40Q),13.0,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,16
Monday,18-30,Male,Elementary school,Above 10yr,Long lorry,0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Driver or rider,Female,31-50,3,Not a Pedestrian,Moving Backward,Slight Injury,19
Monday,18-30,Male,Writing & reading,5-10yr,Automobile,5.0, Church areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,19
Monday,18-30,Male,Junior high school,5-10yr,Taxi,5.0,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,Over 51,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,11
Monday,18-30,Male,Junior high school,5-10yr,Taxi,5.0, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No distancing,Slight Injury,11
Tuesday,18-30,Male,Junior high school,Below 1yr,Long lorry,5.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Turnover,Driver or rider,Male,Over 51,3,Not a Pedestrian,No priority to vehicle,Serious Injury,21
Thursday,31-50,Male,Elementary school,2-5yr,Lorry (11?40Q),2.0,School areas,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,8
Wednesday,31-50,Male,Junior high school,2-5yr,Long lorry,8.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,14
Saturday,18-30,Male,Junior high school,2-5yr,Turbo,1.0,Other,other,Steep grade downward with mountainous terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,2,Other,Driver or rider,Male,31-50,3,Not a Pedestrian,Changing lane to the right,Slight Injury,1
Saturday,18-30,Female,Junior high school,5-10yr,Long lorry,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,3,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,1
Saturday,31-50,Male,Junior high school,5-10yr,Long lorry,0.0,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,3,2,Turnover,na,na,na,na,Not a Pedestrian,Moving Backward,Slight Injury,1
Sunday,31-50,Male,Junior high school,Above 10yr,Public (13?45 seats),5.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,19
Sunday,31-50,Male,Elementary school,5-10yr,Automobile,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,2,Turnover,Driver or rider,Male,Over 51,3,Not a Pedestrian,Overtaking,Slight Injury,19
Thursday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Other,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,na,na,na,na,Not a Pedestrian,Overloading,Slight Injury,7
Thursday,31-50,Male,Junior high school,Above 10yr,Pick up upto 10Q,0.0, Church areas,other,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,7
Friday,31-50,Male,Elementary school,5-10yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Improper parking,Slight Injury,9
Friday,18-30,Male,Junior high school,5-10yr,Stationwagen,13.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,Other,Slight Injury,9
Friday,Over 51,Male,Junior high school,5-10yr,Automobile,5.0,Other,Undivided Two way,Tangent road with mountainous terrain and,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,Under 18,3,Unknown or other,Changing lane to the left,Slight Injury,16
Friday,31-50,Male,Junior high school,Below 1yr,Automobile,5.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Reversing,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,1
Friday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Residential areas,Undivided Two way,Tangent road with flat terrain,Unknown,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Driver or rider,Male,18-30,3,Not a Pedestrian,No priority to pedestrian,Slight Injury,19
Thursday,18-30,Male,Junior high school,5-10yr,Public (13?45 seats),0.0,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Changing lane to the left,Serious Injury,9
Thursday,18-30,Female,Junior high school,Above 10yr,Public (13?45 seats),0.0,Office areas,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Unknown,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,2,Not a Pedestrian,No priority to vehicle,Serious Injury,9
Saturday,31-50,Male,High school,Above 10yr,Lorry (11?40Q),0.0,School areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,16
Saturday,18-30,Male,Junior high school,Above 10yr,Lorry (11?40Q),0.0,Other,Two-way (divided with broken lines road marking),Steep grade downward with mountainous terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,No distancing,Slight Injury,16
Wednesday,18-30,Male,Junior high school,Above 10yr,Pick up upto 10Q,8.0,Other,Two-way (divided with broken lines road marking),Tangent road with rolling terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Moving Backward,Passenger,Female,18-30,3,Not a Pedestrian,No priority to pedestrian,Serious Injury,9
Wednesday,18-30,Male,Junior high school,Above 10yr,Automobile,0.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,No distancing,Serious Injury,9
Saturday,31-50,Male,Junior high school,Above 10yr,Automobile,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Moving Backward,na,na,na,na,Not a Pedestrian,No priority to vehicle,Serious Injury,13
Saturday,18-30,Female,Junior high school,5-10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,1,1,Moving Backward,Pedestrian,Female,Under 18,3,Not a Pedestrian,Other,Slight Injury,20
Wednesday,18-30,Male,Junior high school,2-5yr,Long lorry,0.0,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Pedestrian,Female,Under 18,3,Crossing from driver's nearside,Driving carelessly,Slight Injury,12
Wednesday,18-30,Male,Junior high school,Below 1yr,Long lorry,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Other,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,12
Friday,31-50,Male,Junior high school,Below 1yr,Automobile,0.0,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Going straight,Driver or rider,Male,Under 18,3,Not a Pedestrian,Driving carelessly,Slight Injury,16
Wednesday,31-50,Male,Junior high school,2-5yr,Stationwagen,1.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,19
Wednesday,18-30,Male,Elementary school,Below 1yr,Automobile,2.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,No priority to vehicle,Slight Injury,19
Tuesday,18-30,Male,Junior high school,Below 1yr,Other,0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Reversing,Passenger,Female,31-50,3,Not a Pedestrian,No distancing,Slight Injury,6
Tuesday,31-50,Male,Junior high school,5-10yr,Special vehicle,2.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Passenger,Female,Over 51,3,Not a Pedestrian,Changing lane to the right,Slight Injury,6
Sunday,31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),0.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with mild grade and flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Thursday,Over 51,Male,Writing & reading,Below 1yr,Pick up upto 10Q,8.0,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,na,na,na,na,Not a Pedestrian,Driving at high speed,Slight Injury,17
Thursday,Over 51,Male,Junior high school,Below 1yr,Lorry (11?40Q),0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,Over 51,3,Not a Pedestrian,No distancing,Slight Injury,17
Monday,31-50,Male,Junior high school,1-2yr,Lorry (41?100Q),0.0,Residential areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the right,Slight Injury,17
Monday,31-50,Male,Elementary school,Above 10yr,Motorcycle,0.0, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,Changing lane to the left,Slight Injury,17
Thursday,31-50,Male,Elementary school,Above 10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,Over 51,3,Not a Pedestrian,Getting off the vehicle improperly,Slight Injury,12
Tuesday,18-30,Male,Elementary school,Below 1yr,Automobile,0.0,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Other,Pedestrian,Male,Over 51,2,Not a Pedestrian,Other,Slight Injury,17
Thursday,18-30,Male,Junior high school,2-5yr,Stationwagen,0.0, Industrial areas,Undivided Two way,Tangent road with mild grade and flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,Passenger,Female,Under 18,3,Not a Pedestrian,No distancing,Slight Injury,19
Thursday,18-30,Male,Above high school,Above 10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,1,2,Going straight,na,na,na,na,Not a Pedestrian,No priority to vehicle,Slight Injury,19
Wednesday,18-30,Male,Junior high school,2-5yr,Public (> 45 seats),0.0,Other,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Serious Injury,8
Tuesday,31-50,Male,Junior high school,2-5yr,Public (> 45 seats),8.0, Church areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,1,1,Reversing,na,na,na,na,Not a Pedestrian,No priority to pedestrian,Slight Injury,23
Friday,Over 51,Male,High school,1-2yr,Stationwagen,8.0, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,No distancing,Slight Injury,20
Friday,31-50,Male,Junior high school,5-10yr,Automobile,0.0,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Vehicle with vehicle collision,2,1,Going straight,Driver or rider,Female,18-30,3,Not a Pedestrian,Changing lane to the right,Slight Injury,20
Monday,Over 51,Male,Junior high school,Below 1yr,Bicycle,0.0,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Vehicle with vehicle collision,2,1,Other,na,na,na,na,Not a Pedestrian,Driving carelessly,Slight Injury,22
Monday,31-50,Male,Junior high school,Below 1yr,Automobile,5.0,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,31-50,2,Not a Pedestrian,Changing lane to the right,Slight Injury,22
Saturday,Over 51,Male,Elementary school,5-10yr,Lorry (41?100Q),5.0,Other,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Collision with pedestrians,2,3,Going straight,na,na,na,na,Not a Pedestrian,Overtaking,Slight Injury,3
Saturday,Over 51,Male,Junior high school,Below 1yr,Automobile,8.0,Office areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Going straight,Driver or rider,Male,18-30,3,Not a Pedestrian,Other,Slight Injury,3
Saturday,Over 51,Male,Junior high school,1-2yr,Public (13?45 seats),8.0, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Turnover,na,na,na,na,Not a Pedestrian,Driving to the left,Slight Injury,3
